imageName,redMean,greenMean,blueMean,imgMean,redStd,greenStd,blueStd,imgStd,redVariation,greenVariation,blueVariation,imgVariation,redEntropy,greenEntropy,blueEntropy,imgEntropy,redKurtosis,greenKurtosis,blueKurtosis,imgKurtosis,redSkew,greenSkew,blueSkew,imgSkew,image_status
image12part16,81.02834043,39.68017021,16.44302128,45.7171773,56.13570606,16.77732279,3.777169409,43.15577586,0.692791013,0.422813781,0.229712615,0.943972887,9.868294908,9.99869421,10.03690546,10.85029161,1.290615489,23.48455811,2.349986142,7.507267438,1.564177174,3.962660486,-0.068681743,2.660870829, fire
image10part8,74.00926667,30.02202222,11.69541481,38.5755679,85.39752791,36.67358071,16.95966124,60.48848978,1.153876153,1.221555978,1.450111989,1.568051828,11.07704918,11.00465504,11.00892094,11.91894643,-1.318921315,-0.409691801,11.55887614,2.128284923,0.618889921,0.839782753,2.721519312,1.780374369, fire
image11part8,61.28161702,9.345914894,5.530978723,25.38617021,37.27756856,24.43105197,12.17896416,36.85476951,0.608299362,2.614088856,2.201954621,1.451765635,9.923910027,8.568310685,8.960564104,10.31037382,7.068490999,32.21074334,66.72094483,7.918813985,2.505613896,5.024112669,6.417360162,2.404051115, fire
image14part2,119.2205865,64.98463942,41.25232539,75.1525171,43.50885787,6.266933523,3.743437479,41.39610275,0.364944169,0.096437152,0.090744884,0.550827894,10.58982414,10.64691296,10.6473817,11.62305659,-0.500684361,1.772295015,2.844416755,2.7003967,0.963939226,1.401526318,1.159680796,1.752757649, fire
image5part12,92.80658637,39.20717367,19.46588135,50.49321379,99.426001,44.05138103,17.07953828,70.70656743,1.071324837,1.123554108,0.877408938,1.400318223,11.28495239,11.35009809,11.54709013,12.24916072,-1.333643389,0.676437441,1.553472377,2.191298107,0.628756309,1.318572744,1.355614964,1.833071265, fire
image14part11,190.8668434,111.3459326,47.13942865,116.4507349,52.10507043,48.93014262,18.93028085,72.65288739,0.272991733,0.439442568,0.401580617,0.623893765,10.61175117,10.5631464,10.56486866,11.55490844,-1.176476811,0.349156466,1.51222278,-0.995318385,-0.393005857,1.098342787,0.604452655,0.565926192, fire
image8part11,223.660176,129.8556106,45.16826183,132.8946828,39.46860345,51.15617816,30.8047118,83.79974373,0.176466835,0.393946615,0.681999053,0.630572585,9.791086983,9.729329088,9.57802579,10.68320431,-0.002980598,-0.655329798,1.475808254,-1.398030218,-1.212619669,0.327175813,1.055063566,0.126461999, fire
image14part10,213.7271544,122.9660363,54.38562401,130.3596049,30.32683929,45.40786533,15.44461952,73.02279695,0.141895116,0.369271603,0.283983494,0.560164301,10.64123101,10.59105329,10.61225241,11.58977114,-1.268117038,0.978785605,5.67344425,-1.336874035,-0.049569914,1.434210008,1.330075643,0.349447694, fire
image19part13,152.7077578,99.95005005,43.30735736,98.65505506,29.76662026,18.72292861,14.31513531,49.7602993,0.194925397,0.187322854,0.330547422,0.504386717,9.882973712,9.88418251,9.840623417,10.86644083,-0.353707448,0.541184301,1.466504646,-0.863843863,-0.133225065,-0.326036978,-0.211983372,0.251920685, fire
image5part13,64.70296224,43.10915799,40.51858181,49.44356735,50.81674799,7.709402636,5.223130728,31.73687183,0.785385185,0.178834452,0.128907047,0.641880704,11.68319756,11.88714143,11.89282337,12.87523831,4.847828575,9.713667579,2.883587064,21.78053708,2.418582377,2.722420403,0.000879211,4.562847497, fire
image21part1,232.1369693,127.7246462,28.89003538,129.5838836,32.5450729,32.2400289,10.16113084,87.29584381,0.140197716,0.252418228,0.351717494,0.673662815,9.727839475,9.704981997,9.675605417,10.58321357,1.829703975,-0.855204217,1.981545957,-1.441063016,-1.594477109,-0.329562073,0.667958002,0.140886457, fire
image20part1,153.850774,81.27164087,18.72941176,84.61727554,41.76262447,24.76565748,12.23405269,62.32390609,0.271448907,0.304726928,0.653200049,0.736538794,9.652299371,9.643939627,9.485389858,10.49776782,-0.491031051,0.607022143,3.864234213,-0.614486707,0.185345792,0.617127044,1.457013725,0.547801904, fire
image14part3,122.3760858,60.16775934,35.25509455,72.59964656,30.42253698,8.055291229,6.210946654,41.05222534,0.248598709,0.133880525,0.176171607,0.565460402,10.62038108,10.64272757,10.63575318,11.60309105,-0.351170214,14.37852431,30.60522849,0.051612917,0.262047814,1.530994435,1.95311018,1.009095011, fire
image11part9,211.723234,78.84625532,5.044,98.53782979,24.70963109,25.71521077,7.192787475,88.05938181,0.116707225,0.326143717,1.426008619,0.893660658,10.05785104,10.01920456,9.362635279,10.69668037,-0.657119834,8.337629261,34.94660638,-1.378063659,-0.210267398,2.385089957,4.122707426,0.399208959, fire
image21part11,243.3400943,143.7173349,28.88873821,138.6487225,19.14243769,32.8552239,17.4442695,90.89083107,0.078665366,0.228610028,0.603843248,0.655547555,9.73537542,9.711198644,9.57072828,10.58164187,1.101994638,-1.137329175,0.657192065,-1.500131298,-1.584512251,-0.397428008,1.099302186,-0.072273693, fire
image1part1,11.89881944,0.690434028,1.565711806,4.718321759,12.63851471,4.867628203,3.156164825,9.506306871,1.062165434,7.050098934,2.015801895,2.014764435,10.77527939,8.676063445,10.4992982,11.17917961,199.8004279,450.4777895,520.9151351,251.983855,13.04227388,20.00622211,20.52720185,12.65536583, fire
